Review,Liked,CleanedText,ProcessedText,Sentiment
"If it were possible to give them zero stars, they'd have it.",0,If it were possible to give them zero stars theyd have it,possible give zero star theyd,negative
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,The descriptions said yum yum sauce and another said eel sauce yet another said spicy mayowell NONE of the rolls had sauces on them,description said yum yum sauce another said eel sauce yet another said spicy mayowell none roll sauce,negative
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,Id say that would be the hardest decision Honestly all of Ms dishes taste how they are supposed to taste amazing,id say would hardest decision honestly m dish taste supposed taste amazing,positive
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,If she had not rolled the eyes we may have stayed Not sure if we will go back and try it again,rolled eye may stayed sure go back try,negative
"Everyone is very attentive, providing excellent customer service.",1,Everyone is very attentive providing excellent customer service,everyone attentive providing excellent customer service,positive
Horrible - don't waste your time and money.,0,Horrible  dont waste your time and money,horrible dont waste time money,negative
Now this dish was quite flavourful.,1,Now this dish was quite flavourful,dish quite flavourful,positive
By this time our side of the restaurant was almost empty so there was no excuse.,0,By this time our side of the restaurant was almost empty so there was no excuse,time side restaurant almost empty excuse,negative
"(It wasn't busy either) Also, the building was FREEZING cold.",0,It wasnt busy either Also the building was FREEZING cold,wasnt busy either also building freezing cold,negative
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,like the other reviewer said you couldnt pay me to eat at this place again,like reviewer said couldnt pay eat place,negative
-Drinks took close to 30 minutes to come out at one point.,0,Drinks took close to  minutes to come out at one point,drink took close minute come one point,negative
"Seriously flavorful delights, folks.",1,Seriously flavorful delights folks,seriously flavorful delight folk,positive
Much better than the other AYCE sushi place I went to in Vegas.,1,Much better than the other AYCE sushi place I went to in Vegas,much better ayce sushi place went vega,positive
The lighting is just dark enough to set the mood.,1,The lighting is just dark enough to set the mood,lighting dark enough set mood,positive
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,Based on the subpar service I received and no effort to show their gratitude for my business I wont be going back,based subpar service received effort show gratitude business wont going back,negative
Owner's are really great people.!,1,Owners are really great people,owner really great people,positive
There is nothing privileged about working/eating there.,0,There is nothing privileged about workingeating there,nothing privileged workingeating,negative
The Greek dressing was very creamy and flavorful.,1,The Greek dressing was very creamy and flavorful,greek dressing creamy flavorful,positive
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,Overall I dont think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too,overall dont think would take parent place made similar complaint silently felt,negative
Now the pizza itself was good the peanut sauce was very tasty.,1,Now the pizza itself was good the peanut sauce was very tasty,pizza good peanut sauce tasty,positive
We had 7 at our table and the service was pretty fast.,1,We had  at our table and the service was pretty fast,table service pretty fast,positive
Fantastic service here.,1,Fantastic service here,fantastic service,positive
I as well would've given godfathers zero stars if possible.,0,I as well wouldve given godfathers zero stars if possible,well wouldve given godfather zero star possible,negative
They know how to make them here.,1,They know how to make them here,know make,positive
very tough and very short on flavor!,0,very tough and very short on flavor,tough short flavor,negative
I hope this place sticks around.,1,I hope this place sticks around,hope place stick around,positive
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,I have been in more than a few bars in Vegas and do not ever recall being charged for tap water,bar vega ever recall charged tap water,negative
The restaurant atmosphere was exquisite.,1,The restaurant atmosphere was exquisite,restaurant atmosphere exquisite,positive
"Good service, very clean, and inexpensive, to boot!",1,Good service very clean and inexpensive to boot,good service clean inexpensive boot,positive
The seafood was fresh and generous in portion.,1,The seafood was fresh and generous in portion,seafood fresh generous portion,positive
"Plus, it's only 8 bucks.",1,Plus its only  bucks,plus buck,positive
"The service was not up to par, either.",0,The service was not up to par either,service par either,negative
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,Thus far have only visited twice and the food was absolutely delicious each time,thus far visited twice food absolutely delicious time,positive
Just as good as when I had it more than a year ago!,1,Just as good as when I had it more than a year ago,good year ago,positive
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,For a self proclaimed coffee cafe I was wildly disappointed,self proclaimed coffee cafe wildly disappointed,negative
The Veggitarian platter is out of this world!,1,The Veggitarian platter is out of this world,veggitarian platter world,positive
You cant go wrong with any of the food here.,1,You cant go wrong with any of the food here,cant go wrong food,positive
You can't beat that.,1,You cant beat that,cant beat,positive
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,Stopped by this place while in Madison for the Ironman very friendly kind staff,stopped place madison ironman friendly kind staff,positive
The chefs were friendly and did a good job.,1,The chefs were friendly and did a good job,chef friendly good job,positive
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,Ive had better not only from dedicated boba tea spots but even from Jenni Pho,ive better dedicated boba tea spot even jenni pho,negative
I liked the patio and the service was outstanding.,1,I liked the patio and the service was outstanding,liked patio service outstanding,positive
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,The goat taco didnt skimp on the meat and wow what FLAVOR,goat taco didnt skimp meat wow flavor,positive
I think not again,0,I think not again,think,negative
I had the mac salad and it was pretty bland so I will not be getting that again.,0,I had the mac salad and it was pretty bland so I will not be getting that again,mac salad pretty bland getting,negative
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,I went to Bachi Burger on a friends recommendation and was not disappointed,went bachi burger friend recommendation disappointed,positive
Service stinks here!,0,Service stinks here,service stink,negative
I waited and waited.,0,I waited and waited,waited waited,negative
"This place is not quality sushi, it is not a quality restaurant.",0,This place is not quality sushi it is not a quality restaurant,place quality sushi quality restaurant,negative
I would definitely recommend the wings as well as the pizza.,1,I would definitely recommend the wings as well as the pizza,would definitely recommend wing well pizza,positive
Great Pizza and Salads!,1,Great Pizza and Salads,great pizza salad,positive
Things that went wrong: - They burned the saganaki.,0,Things that went wrong  They burned the saganaki,thing went wrong burned saganaki,negative
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,We waited an hour for what was a breakfast I could have done  times better at home,waited hour breakfast could done time better home,negative
This place is amazing!,1,This place is amazing,place amazing,positive
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,I hate to disagree with my fellow Yelpers but my husband and I were so disappointed with this place,hate disagree fellow yelpers husband disappointed place,negative
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,Waited  hours  never got either of our pizzas as many other around us who came in later did,waited hour never got either pizza many around u came later,negative
Just don't know why they were so slow.,0,Just dont know why they were so slow,dont know slow,negative
"The staff is great, the food is delish, and they have an incredible beer selection.",1,The staff is great the food is delish and they have an incredible beer selection,staff great food delish incredible beer selection,positive
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,I live in the neighborhood so I am disappointed I wont be back here because it is a convenient location,live neighborhood disappointed wont back convenient location,negative
I didn't know pulled pork could be soooo delicious.,1,I didnt know pulled pork could be soooo delicious,didnt know pulled pork could soooo delicious,positive
"You get incredibly fresh fish, prepared with care.",1,You get incredibly fresh fish prepared with care,get incredibly fresh fish prepared care,positive
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,Before I go in to why I gave a  star rating please know that this was my third time eating at Bachi burger before writing a review,go gave star rating please know third time eating bachi burger writing review,negative
I love the fact that everything on their menu is worth it.,1,I love the fact that everything on their menu is worth it,love fact everything menu worth,positive
Never again will I be dining at this place!,0,Never again will I be dining at this place,never dining place,negative
The food was excellent and service was very good.,1,The food was excellent and service was very good,food excellent service good,positive
Good beer & drink selection and good food selection.,1,Good beer  drink selection and good food selection,good beer drink selection good food selection,positive
Please stay away from the shrimp stir fried noodles.,0,Please stay away from the shrimp stir fried noodles,please stay away shrimp stir fried noodle,negative
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,The potato chip order was sad I could probably count how many chips were in that box and it was probably around ,potato chip order sad could probably count many chip box probably around,negative
Food was really boring.,0,Food was really boring,food really boring,negative
Good Service-check!,1,Good Servicecheck,good servicecheck,positive
This greedy corporation will NEVER see another dime from me!,0,This greedy corporation will NEVER see another dime from me,greedy corporation never see another dime,negative
"Will never, ever go back.",0,Will never ever go back,never ever go back,negative
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,As much as Id like to go back I cant get passed the atrocious service and will never return,much id like go back cant get passed atrocious service never return,negative
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,In the summer you can dine in a charming outdoor patio  so very delightful,summer dine charming outdoor patio delightful,positive
I did not expect this to be so good!,1,I did not expect this to be so good,expect good,positive
Fantastic food!,1,Fantastic food,fantastic food,positive
She ordered a toasted English muffin that came out untoasted.,0,She ordered a toasted English muffin that came out untoasted,ordered toasted english muffin came untoasted,negative
The food was very good.,1,The food was very good,food good,positive
Never going back.,0,Never going back,never going back,negative
"Great food for the price, which is very high quality and house made.",1,Great food for the price which is very high quality and house made,great food price high quality house made,positive
The bus boy on the other hand was so rude.,0,The bus boy on the other hand was so rude,bus boy hand rude,negative
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,By this point my friends and I had basically figured out this place was a joke and didnt mind making it publicly and loudly known,point friend basically figured place joke didnt mind making publicly loudly known,negative
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,Back to good BBQ lighter fare reasonable pricing and tell the public they are back to the old ways,back good bbq lighter fare reasonable pricing tell public back old way,positive
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,And considering the two of us left there very full and happy for about  you just cant go wrong,considering two u left full happy cant go wrong,positive
All the bread is made in-house!,1,All the bread is made inhouse,bread made inhouse,positive
The only downside is the service.,0,The only downside is the service,downside service,negative
"Also, the fries are without a doubt the worst fries I've ever had.",0,Also the fries are without a doubt the worst fries Ive ever had,also fry without doubt worst fry ive ever,negative
Service was exceptional and food was a good as all the reviews.,1,Service was exceptional and food was a good as all the reviews,service exceptional food good review,positive
"A couple of months later, I returned and had an amazing meal.",1,A couple of months later I returned and had an amazing meal,couple month later returned amazing meal,positive
Favorite place in town for shawarrrrrrma!!!!!!,1,Favorite place in town for shawarrrrrrma,favorite place town shawarrrrrrma,positive
The black eyed peas and sweet potatoes... UNREAL!,1,The black eyed peas and sweet potatoes UNREAL,black eyed pea sweet potato unreal,positive
You won't be disappointed.,1,You wont be disappointed,wont disappointed,positive
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,They could serve it with just the vinaigrette and it may make for a better overall dish but it was still very good,could serve vinaigrette may make better overall dish still good,positive
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,I go to far too many places and Ive never seen any restaurant that serves a  egg breakfast especially for ,go far many place ive never seen restaurant serf egg breakfast especially,negative
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,When my mom and I got home she immediately got sick and she only had a few bites of salad,mom got home immediately got sick bite salad,negative
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,The servers are not pleasant to deal with and they dont always honor Pizza Hut coupons,server pleasant deal dont always honor pizza hut coupon,negative
"Both of them were truly unbelievably good, and I am so glad we went back.",1,Both of them were truly unbelievably good and I am so glad we went back,truly unbelievably good glad went back,positive
"We had fantastic service, and were pleased by the atmosphere.",1,We had fantastic service and were pleased by the atmosphere,fantastic service pleased atmosphere,positive
Everything was gross.,0,Everything was gross,everything gross,negative
I love this place.,1,I love this place,love place,positive
Great service and food.,1,Great service and food,great service food,positive
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,First  the bathrooms at this location were dirty Seat covers were not replenished  just plain yucky,first bathroom location dirty seat cover replenished plain yucky,negative
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,The burger I got the Gold Standard a  burger and was kind of disappointed,burger got gold standard burger kind disappointed,negative
"OMG, the food was delicioso!",1,OMG the food was delicioso,omg food delicioso,positive
There is nothing authentic about this place.,0,There is nothing authentic about this place,nothing authentic place,negative
the spaghetti is nothing special whatsoever.,0,the spaghetti is nothing special whatsoever,spaghetti nothing special whatsoever,negative
"Of all the dishes, the salmon was the best, but all were great.",1,Of all the dishes the salmon was the best but all were great,dish salmon best great,positive
The vegetables are so fresh and the sauce feels like authentic Thai.,1,The vegetables are so fresh and the sauce feels like authentic Thai,vegetable fresh sauce feel like authentic thai,positive
It's worth driving up from Tucson!,1,Its worth driving up from Tucson,worth driving tucson,positive
The selection was probably the worst I've seen in Vegas.....there was none.,0,The selection was probably the worst Ive seen in Vegasthere was none,selection probably worst ive seen vegasthere none,negative
Pretty good beer selection too.,1,Pretty good beer selection too,pretty good beer selection,positive
"This place is like Chipotle, but BETTER.",1,This place is like Chipotle but BETTER,place like chipotle better,positive
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,Classywarm atmosphere fun and fresh appetizers succulent steaks Baseball steak,classywarm atmosphere fun fresh appetizer succulent steak baseball steak,positive
5 stars for the brick oven bread app!,1, stars for the brick oven bread app,star brick oven bread app,positive
"I have eaten here multiple times, and each time the food was delicious.",1,I have eaten here multiple times and each time the food was delicious,eaten multiple time time food delicious,positive
We sat another ten minutes and finally gave up and left.,0,We sat another ten minutes and finally gave up and left,sat another ten minute finally gave left,negative
He was terrible!,0,He was terrible,terrible,negative
Everyone is treated equally special.,1,Everyone is treated equally special,everyone treated equally special,positive
It shouldn't take 30 min for pancakes and eggs.,0,It shouldnt take  min for pancakes and eggs,shouldnt take min pancake egg,negative
It was delicious!!!,1,It was delicious,delicious,positive
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,On the good side the staff was genuinely pleasant and enthusiastic  a real treat,good side staff genuinely pleasant enthusiastic real treat,positive
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,Sadly Gordon Ramseys Steak is a place we shall sharply avoid during our next trip to Vegas,sadly gordon ramseys steak place shall sharply avoid next trip vega,negative
As always the evening was wonderful and the food delicious!,1,As always the evening was wonderful and the food delicious,always evening wonderful food delicious,positive
Best fish I've ever had in my life!,1,Best fish Ive ever had in my life,best fish ive ever life,positive
(The bathroom is just next door and very nice.),1,The bathroom is just next door and very nice,bathroom next door nice,positive
The buffet is small and all the food they offered was BLAND.,0,The buffet is small and all the food they offered was BLAND,buffet small food offered bland,negative
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,This is an Outstanding little restaurant with some of the Best Food I have ever tasted,outstanding little restaurant best food ever tasted,positive
Pretty cool I would say.,1,Pretty cool I would say,pretty cool would say,positive
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,Definitely a turn off for me  i doubt Ill be back unless someone else is buying,definitely turn doubt ill back unless someone else buying,negative
Server did a great job handling our large rowdy table.,1,Server did a great job handling our large rowdy table,server great job handling large rowdy table,positive
"I find wasting food to be despicable, but this just wasn't food.",0,I find wasting food to be despicable but this just wasnt food,find wasting food despicable wasnt food,negative
My wife had the Lobster Bisque soup which was lukewarm.,0,My wife had the Lobster Bisque soup which was lukewarm,wife lobster bisque soup lukewarm,negative
Would come back again if I had a sushi craving while in Vegas.,1,Would come back again if I had a sushi craving while in Vegas,would come back sushi craving vega,positive
"The staff are great, the ambiance is great.",1,The staff are great the ambiance is great,staff great ambiance great,positive
He deserves 5 stars.,1,He deserves  stars,deserves star,positive
I left with a stomach ache and felt sick the rest of the day.,0,I left with a stomach ache and felt sick the rest of the day,left stomach ache felt sick rest day,negative
They dropped more than the ball.,0,They dropped more than the ball,dropped ball,negative
"The dining space is tiny, but elegantly decorated and comfortable.",1,The dining space is tiny but elegantly decorated and comfortable,dining space tiny elegantly decorated comfortable,positive
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,They will customize your order any way youd like my usual is Eggplant with Green Bean stir fry love it,customize order way youd like usual eggplant green bean stir fry love,positive
And the beans and rice were mediocre at best.,0,And the beans and rice were mediocre at best,bean rice mediocre best,negative
Best tacos in town by far!!,1,Best tacos in town by far,best taco town far,positive
I took back my money and got outta there.,0,I took back my money and got outta there,took back money got outta,negative
"In an interesting part of town, this place is amazing.",1,In an interesting part of town this place is amazing,interesting part town place amazing,positive
RUDE & INCONSIDERATE MANAGEMENT.,0,RUDE  INCONSIDERATE MANAGEMENT,rude inconsiderate management,negative
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,The staff are now not as friendly the wait times for being served are horrible no one even says hi for the first  minutes,staff friendly wait time served horrible one even say hi first minute,negative
I won't be back.,0,I wont be back,wont back,negative
They have great dinners.,1,They have great dinners,great dinner,positive
The service was outshining & I definitely recommend the Halibut.,1,The service was outshining  I definitely recommend the Halibut,service outshining definitely recommend halibut,positive
The food was terrible.,0,The food was terrible,food terrible,negative
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED,never ever go back told many people happened,negative
I don't recommend unless your car breaks down in front of it and you are starving.,0,I dont recommend unless your car breaks down in front of it and you are starving,dont recommend unless car break front starving,negative
I will come back here every time I'm in Vegas.,1,I will come back here every time Im in Vegas,come back every time im vega,positive
This place deserves one star and 90% has to do with the food.,0,This place deserves one star and  has to do with the food,place deserves one star food,negative
This is a disgrace.,0,This is a disgrace,disgrace,negative
Def coming back to bowl next time,1,Def coming back to bowl next time,def coming back bowl next time,positive
"If you want healthy authentic or ethic food, try this place.",1,If you want healthy authentic or ethic food try this place,want healthy authentic ethic food try place,positive
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,1,I will continue to come here on ladies night andddd date night  highly recommend this place to anyone who is in the area,continue come lady night andddd date night highly recommend place anyone area,positive
"I have been here several times in the past, and the experience has always been great.",1,I have been here several times in the past and the experience has always been great,several time past experience always great,positive
We walked away stuffed and happy about our first Vegas buffet experience.,1,We walked away stuffed and happy about our first Vegas buffet experience,walked away stuffed happy first vega buffet experience,positive
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria,service excellent price pretty reasonable considering vega located inside crystal shopping mall aria,positive
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,To summarize the food was incredible nay transcendant but nothing brings me joy quite like the memory of the pneumatic condiment dispenser,summarize food incredible nay transcendant nothing brings joy quite like memory pneumatic condiment dispenser,positive
I'm probably one of the few people to ever go to Ians and not like it.,0,Im probably one of the few people to ever go to Ians and not like it,im probably one people ever go ians like,negative
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,Kids pizza is always a hit too with lots of great side dish options for the kiddos,kid pizza always hit lot great side dish option kiddos,positive
Service is perfect and the family atmosphere is nice to see.,1,Service is perfect and the family atmosphere is nice to see,service perfect family atmosphere nice see,positive
Cooked to perfection and the service was impeccable.,1,Cooked to perfection and the service was impeccable,cooked perfection service impeccable,positive
This one is simply a disappointment.,0,This one is simply a disappointment,one simply disappointment,negative
"Overall, I was very disappointed with the quality of food at Bouchon.",0,Overall I was very disappointed with the quality of food at Bouchon,overall disappointed quality food bouchon,negative
I don't have to be an accountant to know I'm getting screwed!,0,I dont have to be an accountant to know Im getting screwed,dont accountant know im getting screwed,negative
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,Great place to eat reminds me of the little mom and pop shops in the San Francisco Bay Area,great place eat reminds little mom pop shop san francisco bay area,positive
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible,today first taste buldogis gourmet hot dog tell ever thought possible,positive
Left very frustrated.,0,Left very frustrated,left frustrated,negative
I'll definitely be in soon again.,1,Ill definitely be in soon again,ill definitely soon,positive
Food was really good and I got full petty fast.,1,Food was really good and I got full petty fast,food really good got full petty fast,positive
Service was fantastic.,1,Service was fantastic,service fantastic,positive
TOTAL WASTE OF TIME.,0,TOTAL WASTE OF TIME,total waste time,negative
I don't know what kind it is but they have the best iced tea.,1,I dont know what kind it is but they have the best iced tea,dont know kind best iced tea,positive
"Come hungry, leave happy and stuffed!",1,Come hungry leave happy and stuffed,come hungry leave happy stuffed,positive
"For service, I give them no stars.",0,For service I give them no stars,service give star,negative
I can assure you that you won't be disappointed.,1,I can assure you that you wont be disappointed,assure wont disappointed,positive
I can take a little bad service but the food sucks.,0,I can take a little bad service but the food sucks,take little bad service food suck,negative
Gave up trying to eat any of the crust (teeth still sore).,0,Gave up trying to eat any of the crust teeth still sore,gave trying eat crust teeth still sore,negative
But now I was completely grossed out.,0,But now I was completely grossed out,completely grossed,negative
I really enjoyed eating here.,1,I really enjoyed eating here,really enjoyed eating,positive
First time going but I think I will quickly become a regular.,1,First time going but I think I will quickly become a regular,first time going think quickly become regular,positive
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,Our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end,server nice even though looked little overwhelmed need stayed professional friendly end,positive
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,From what my dinner companions told meeverything was very fresh with nice texture and taste,dinner companion told meeverything fresh nice texture taste,positive
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,On the ground right next to our table was a large smeared beensteppedinandtrackedeverywhere pile of green bird poop,ground right next table large smeared beensteppedinandtrackedeverywhere pile green bird poop,negative
"Furthermore, you can't even find hours of operation on the website!",0,Furthermore you cant even find hours of operation on the website,furthermore cant even find hour operation website,negative
We've tried to like this place but after 10+ times I think we're done with them.,0,Weve tried to like this place but after  times I think were done with them,weve tried like place time think done,negative
What a mistake that was!,0,What a mistake that was,mistake,negative
No complaints!,1,No complaints,complaint,positive
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,This is some seriously good pizza and Im an expertconnisseur on the topic,seriously good pizza im expertconnisseur topic,positive
Waiter was a jerk.,0,Waiter was a jerk,waiter jerk,negative
"Strike 2, who wants to be rushed.",0,Strike  who wants to be rushed,strike want rushed,negative
These are the nicest restaurant owners I've ever come across.,1,These are the nicest restaurant owners Ive ever come across,nicest restaurant owner ive ever come across,positive
I never come again.,0,I never come again,never come,negative
We loved the biscuits!!!,1,We loved the biscuits,loved biscuit,positive
Service is quick and friendly.,1,Service is quick and friendly,service quick friendly,positive
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0,Ordered an appetizer and took  minutes and then the pizza another  minutes,ordered appetizer took minute pizza another minute,negative
So absolutley fantastic.,1,So absolutley fantastic,absolutley fantastic,positive
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,It was a huge awkward lb piece of cow that was ths gristle and fat,huge awkward lb piece cow th gristle fat,negative
definitely will come back here again.,1,definitely will come back here again,definitely come back,positive
I like Steiners because it's dark and it feels like a bar.,1,I like Steiners because its dark and it feels like a bar,like steiner dark feel like bar,positive
Wow very spicy but delicious.,1,Wow very spicy but delicious,wow spicy delicious,positive
"If you're not familiar, check it out.",1,If youre not familiar check it out,youre familiar check,positive
I'll take my business dinner dollars elsewhere.,0,Ill take my business dinner dollars elsewhere,ill take business dinner dollar elsewhere,negative
I'd love to go back.,1,Id love to go back,id love go back,positive
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,Anyway this FS restaurant has a wonderful breakfastlunch,anyway f restaurant wonderful breakfastlunch,positive
Nothing special.,0,Nothing special,nothing special,negative
Each day of the week they have a different deal and it's all so delicious!,1,Each day of the week they have a different deal and its all so delicious,day week different deal delicious,positive
"Not to mention the combination of pears, almonds and bacon is a big winner!",1,Not to mention the combination of pears almonds and bacon is a big winner,mention combination pear almond bacon big winner,positive
Will not be back.,0,Will not be back,back,negative
Sauce was tasteless.,0,Sauce was tasteless,sauce tasteless,negative
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1,The food is delicious and just spicy enough so be sure to ask for spicier if you prefer it that way,food delicious spicy enough sure ask spicier prefer way,positive
My ribeye steak was cooked perfectly and had great mesquite flavor.,1,My ribeye steak was cooked perfectly and had great mesquite flavor,ribeye steak cooked perfectly great mesquite flavor,positive
I don't think we'll be going back anytime soon.,0,I dont think well be going back anytime soon,dont think well going back anytime soon,negative
Food was so gooodd.,1,Food was so gooodd,food gooodd,positive
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food,far sushi connoisseur definitely tell difference good food bad food certainly bad food,negative
I was so insulted.,0,I was so insulted,insulted,negative
The last 3 times I had lunch here has been bad.,0,The last  times I had lunch here has been bad,last time lunch bad,negative
The chicken wings contained the driest chicken meat I have ever eaten.,0,The chicken wings contained the driest chicken meat I have ever eaten,chicken wing contained driest chicken meat ever eaten,negative
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,The food was very good and I enjoyed every mouthful an enjoyable relaxed venue for couples small family groups etc,food good enjoyed every mouthful enjoyable relaxed venue couple small family group etc,positive
Nargile - I think you are great.,1,Nargile  I think you are great,nargile think great,positive
Best tater tots in the southwest.,1,Best tater tots in the southwest,best tater tot southwest,positive
We loved the place.,1,We loved the place,loved place,positive
Definitely not worth the $3 I paid.,0,Definitely not worth the  I paid,definitely worth paid,negative
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1,The vanilla ice cream was creamy and smooth while the profiterole choux pastry was fresh enough,vanilla ice cream creamy smooth profiterole chou pastry fresh enough,positive
Im in AZ all the time and now have my new spot.,1,Im in AZ all the time and now have my new spot,im az time new spot,positive
The manager was the worst.,0,The manager was the worst,manager worst,negative
The inside is really quite nice and very clean.,1,The inside is really quite nice and very clean,inside really quite nice clean,positive
The food was outstanding and the prices were very reasonable.,1,The food was outstanding and the prices were very reasonable,food outstanding price reasonable,positive
I don't think I'll be running back to Carly's anytime soon for food.,0,I dont think Ill be running back to Carlys anytime soon for food,dont think ill running back carlys anytime soon food,negative
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,This is was due to the fact that it took  minutes to be acknowledged then another  minutes to get our foodand they kept forgetting things,due fact took minute acknowledged another minute get foodand kept forgetting thing,negative
"Love the margaritas, too!",1,Love the margaritas too,love margarita,positive
This was my first and only Vegas buffet and it did not disappoint.,1,This was my first and only Vegas buffet and it did not disappoint,first vega buffet disappoint,positive
"Very good, though!",1,Very good though,good though,positive
The one down note is the ventilation could use some upgrading.,0,The one down note is the ventilation could use some upgrading,one note ventilation could use upgrading,negative
Great pork sandwich.,1,Great pork sandwich,great pork sandwich,positive
Don't waste your time here.,0,Dont waste your time here,dont waste time,negative
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,Total letdown I would much rather just go to the Camelback Flower Shop and Cartel Coffee,total letdown would much rather go camelback flower shop cartel coffee,negative
"Third, the cheese on my friend's burger was cold.",0,Third the cheese on my friends burger was cold,third cheese friend burger cold,negative
We enjoy their pizza and brunch.,1,We enjoy their pizza and brunch,enjoy pizza brunch,positive
The steaks are all well trimmed and also perfectly cooked.,1,The steaks are all well trimmed and also perfectly cooked,steak well trimmed also perfectly cooked,positive
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,We had a group of  when we claimed we would only have  and they handled us beautifully,group claimed would handled u beautifully,positive
I LOVED it!,1,I LOVED it,loved,positive
We asked for the bill to leave without eating and they didn't bring that either.,0,We asked for the bill to leave without eating and they didnt bring that either,asked bill leave without eating didnt bring either,negative
